Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,66.19467332,5.444750243,71.63942357,-129.6503114,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467332,5.444750243,71.63942357,-129.6503114,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467336,5.444750242,71.6394236,-129.6503115,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467345,5.44475023,71.63942368,-129.6503116,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467361,5.444750184,71.63942379,-129.6503118,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467388,5.444750063,71.63942394,-129.6503123,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467439,5.444749806,71.63942419,-129.6503131,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467525,5.444749326,71.63942457,-129.6503144,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467658,5.444748508,71.63942508,-129.6503162,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19467852,5.444747213,71.63942574,-129.6503188,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19468129,5.444745279,71.63942657,-129.6503221,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19468506,5.444742542,71.63942761,-129.6503264,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19468999,5.44473884,71.63942883,-129.6503318,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19469627,5.444734026,71.63943029,-129.6503385,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19470409,5.444727993,71.63943208,-129.6503467,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19471364,5.444720689,71.63943433,-129.6503564,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,66.19472512,5.444712078,71.63943719,-129.650368,-1,-1,-1,-1
