Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,3,0.009102009,109865.8537,2932.600733,-1,-1
1.71E+12,3,0.009102009,109865.8537,2932.600733,-1,-1
1.71E+12,3,0.009102009,109865.8554,2932.600732,-1,-1
1.71E+12,3,0.009102008,109865.8628,2932.600732,-1,-1
1.71E+12,3,0.009102007,109865.8782,2932.60073,-1,-1
1.71E+12,3,0.009102005,109865.9044,2932.600728,-1,-1
1.71E+12,3,0.009102002,109865.9443,2932.600726,-1,-1
1.71E+12,3,0.009101997,109866.0012,2932.60072,-1,-1
1.71E+12,3,0.009101991,109866.0786,2932.60071,-1,-1
1.71E+12,3,0.009101984,109866.177,2932.600693,-1,-1
1.71E+12,3,0.009101974,109866.2966,2932.600669,-1,-1
1.71E+12,3,0.009101963,109866.4394,2932.600636,-1,-1
1.71E+12,3,0.00910195,109866.6073,2932.600594,-1,-1
1.71E+12,3,0.009101935,109866.8043,2932.600543,-1,-1
1.71E+12,3,0.009101917,109867.0345,2932.60048,-1,-1
1.71E+12,3,0.009101896,109867.3026,2932.600404,-1,-1
1.71E+12,3,0.009101871,109867.6152,2932.600312,-1,-1
1.71E+12,3,0.009101843,109867.978,2932.600199,-1,-1
1.71E+12,3,0.009101811,109868.3949,2932.600064,-1,-1
1.71E+12,3,0.009101774,109868.8721,2932.599904,-1,-1
1.71E+12,3,0.009101731,109869.416,2932.599717,-1,-1
1.71E+12,3,0.009101683,109870.0317,2932.599502,-1,-1
1.71E+12,3,0.009101629,109870.7246,2932.599254,-1,-1
1.71E+12,3,0.009101569,109871.5002,2932.598971,-1,-1
1.71E+12,3,0.009101502,109872.3641,2932.598649,-1,-1
1.71E+12,3,0.009101427,109873.3207,2932.598283,-1,-1
1.71E+12,3,0.009101345,109874.3742,2932.597867,-1,-1
1.71E+12,3,0.009101256,109875.5305,2932.597398,-1,-1
1.71E+12,3,0.009101157,109876.7975,2932.596873,-1,-1
1.71E+12,3,0.00910105,109878.1833,2932.596285,-1,-1
1.71E+12,3,0.009100932,109879.6946,2932.595632,-1,-1
1.71E+12,3,0.009100805,109881.3383,2932.594908,-1,-1
1.71E+12,3,0.009100666,109883.1212,2932.594106,-1,-1
1.71E+12,3,0.009100517,109885.0504,2932.593221,-1,-1
1.71E+12,3,0.009100355,109887.1328,2932.592245,-1,-1
1.71E+12,3,0.009100181,109889.3755,2932.591173,-1,-1
1.71E+12,3,0.009099994,109891.7871,2932.590001,-1,-1
1.71E+12,3,0.009099793,109894.3768,2932.58872,-1,-1
1.71E+12,3,0.009099578,109897.1516,2932.587326,-1,-1
1.71E+12,3,0.009099349,109900.1173,2932.585811,-1,-1
1.71E+12,3,0.009099104,109903.279,2932.584168,-1,-1
1.71E+12,3,0.009098843,109906.6432,2932.582386,-1,-1
1.71E+12,3,0.009098567,109910.216,2932.58046,-1,-1
1.71E+12,3,0.009098274,109914.0034,2932.578381,-1,-1
1.71E+12,3,0.009097964,109918.0095,2932.576143,-1,-1
1.71E+12,3,0.009097637,109922.2361,2932.573738,-1,-1
1.71E+12,3,0.009097293,109926.6857,2932.571158,-1,-1
1.71E+12,3,0.009096932,109931.362,2932.568397,-1,-1
1.71E+12,3,0.009096553,109936.268,2932.565443,-1,-1
1.71E+12,3,0.009096157,109941.4062,2932.562287,-1,-1
1.71E+12,3,0.009095742,109946.7786,2932.558923,-1,-1
1.71E+12,3,0.00909531,109952.3862,2932.555341,-1,-1
1.71E+12,3,0.00909486,109958.2297,2932.551537,-1,-1
1.71E+12,3,0.009094391,109964.3086,2932.547501,-1,-1
1.71E+12,3,0.009093906,109970.6221,2932.543227,-1,-1
1.71E+12,3,0.009093402,109977.1682,2932.538705,-1,-1
1.71E+12,3,0.009092881,109983.9441,2932.533928,-1,-1
1.71E+12,3,0.009092343,109990.9464,2932.528887,-1,-1
1.71E+12,3,0.009091788,109998.1705,2932.523574,-1,-1
1.71E+12,3,0.009091217,110005.6108,2932.517983,-1,-1
1.71E+12,3,0.009090631,110013.2612,2932.512109,-1,-1
1.71E+12,3,0.009090029,110021.1141,2932.505946,-1,-1
1.71E+12,3,0.009089413,110029.163,2932.499489,-1,-1
1.71E+12,3,0.009088782,110037.4008,2932.492733,-1,-1
1.71E+12,3,0.009088138,110045.8192,2932.485671,-1,-1
1.71E+12,3,0.009087482,110054.4114,2932.478297,-1,-1
1.71E+12,3,0.009086813,110063.1681,2932.470607,-1,-1
1.71E+12,3,0.009086133,110072.0793,2932.462597,-1,-1
1.71E+12,3,0.009085443,110081.1345,2932.454266,-1,-1
1.71E+12,3,0.009084744,110090.3207,2932.44561,-1,-1
1.71E+12,3,0.009084036,110099.6242,2932.43663,-1,-1
1.71E+12,3,0.009083321,110109.0304,2932.427324,-1,-1
1.71E+12,3,0.0090826,110118.5262,2932.417691,-1,-1
1.71E+12,3,0.009081874,110128.0976,2932.407732,-1,-1
1.71E+12,3,0.009081144,110137.729,2932.397445,-1,-1
1.71E+12,3,0.009080412,110147.4038,2932.38683,-1,-1
1.71E+12,3,0.009079678,110157.1054,2932.375889,-1,-1
1.71E+12,3,0.009078945,110166.8165,2932.364623,-1,-1
1.71E+12,3,0.009078213,110176.5197,2932.353038,-1,-1
1.71E+12,3,0.009077485,110186.1974,2932.341137,-1,-1
1.71E+12,3,0.00907676,110195.8317,2932.328927,-1,-1
1.71E+12,3,0.009076041,110205.4046,2932.31641,-1,-1
1.71E+12,3,0.00907533,110214.8984,2932.303591,-1,-1
1.71E+12,3,0.009074627,110224.2951,2932.290477,-1,-1
1.71E+12,3,0.009073933,110233.577,2932.277076,-1,-1
1.71E+12,3,0.009073251,110242.7267,2932.263396,-1,-1
1.71E+12,3,0.009072582,110251.7269,2932.249447,-1,-1
1.71E+12,3,0.009071926,110260.5592,2932.235239,-1,-1
1.71E+12,3,0.009071286,110269.2053,2932.220781,-1,-1
1.71E+12,3,0.009070662,110277.6472,2932.206083,-1,-1
1.71E+12,3,0.009070057,110285.8657,2932.191153,-1,-1
1.71E+12,3,0.009069471,110293.8403,2932.176004,-1,-1
1.71E+12,3,0.009068907,110301.5505,2932.160648,-1,-1
1.71E+12,3,0.009068366,110308.9773,2932.145099,-1,-1
1.71E+12,3,0.009067849,110316.1021,2932.129371,-1,-1
1.71E+12,3,0.009067358,110322.9067,2932.113479,-1,-1
1.71E+12,3,0.009066895,110329.3729,2932.097438,-1,-1
