Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,14.42923003,9.259984405,23.68921443,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923003,9.259984405,23.68921443,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923003,9.259984407,23.68921444,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923006,9.259984413,23.68921448,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923012,9.259984431,23.68921456,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923024,9.259984471,23.68921471,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923043,9.259984539,23.68921497,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923072,9.259984634,23.68921536,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923116,9.259984749,23.68921591,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.4292318,9.259984881,23.68921668,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923267,9.259985032,23.6892177,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923385,9.259985211,23.68921906,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.4292354,9.25998543,23.68922083,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923737,9.259985701,23.68922307,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42923985,9.259986031,23.68922588,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.4292429,9.25998642,23.68922932,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42924662,9.259986862,23.68923349,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.42925112,9.259987343,23.68923846,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,14.4292565,9.259987849,23.68924435,-605.0000721,-1,-1,-1,-1
