Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,2,3.147985348,317.6634862,2931.135531,-1,-1
1.71E+12,2,3.147985348,317.6634862,2931.135531,-1,-1
1.71E+12,2,3.147985345,317.6634864,2931.135535,-1,-1
1.71E+12,2,3.147985333,317.6634876,2931.135549,-1,-1
1.71E+12,2,3.147985308,317.6634902,2931.13558,-1,-1
1.71E+12,2,3.147985265,317.6634945,2931.135631,-1,-1
1.71E+12,2,3.147985198,317.6635013,2931.135711,-1,-1
1.71E+12,2,3.147985101,317.6635111,2931.135828,-1,-1
1.71E+12,2,3.147984968,317.6635246,2931.135989,-1,-1
1.71E+12,2,3.147984791,317.6635424,2931.136201,-1,-1
1.71E+12,2,3.147984564,317.6635653,2931.136473,-1,-1
1.71E+12,2,3.147984281,317.6635939,2931.136812,-1,-1
1.71E+12,2,3.147983933,317.663629,2931.137223,-1,-1
1.71E+12,2,3.147983514,317.6636713,2931.137717,-1,-1
1.71E+12,2,3.147983018,317.6637215,2931.138302,-1,-1
1.71E+12,2,3.147982439,317.66378,2931.138986,-1,-1
1.71E+12,2,3.14798177,317.6638475,2931.139778,-1,-1
1.71E+12,2,3.147981004,317.6639249,2931.14069,-1,-1
1.71E+12,2,3.14798013,317.6640131,2931.141729,-1,-1
1.71E+12,2,3.147979143,317.6641129,2931.142904,-1,-1
1.71E+12,2,3.147978033,317.664225,2931.144228,-1,-1
1.71E+12,2,3.147976789,317.6643506,2931.145711,-1,-1
1.71E+12,2,3.1479754,317.6644909,2931.147363,-1,-1
1.71E+12,2,3.147973857,317.6646467,2931.149198,-1,-1
1.71E+12,2,3.147972151,317.6648191,2931.151227,-1,-1
1.71E+12,2,3.147970272,317.6650088,2931.153462,-1,-1
1.71E+12,2,3.14796821,317.6652171,2931.155912,-1,-1
1.71E+12,2,3.147965954,317.665445,2931.158594,-1,-1
1.71E+12,2,3.14796349,317.6656938,2931.161519,-1,-1
1.71E+12,2,3.147960805,317.6659651,2931.164697,-1,-1
1.71E+12,2,3.147957885,317.6662599,2931.168145,-1,-1
1.71E+12,2,3.147954721,317.6665795,2931.171879,-1,-1
1.71E+12,2,3.147951301,317.6669249,2931.175912,-1,-1
1.71E+12,2,3.147947615,317.6672972,2931.180259,-1,-1
1.71E+12,2,3.147943647,317.667698,2931.184937,-1,-1
1.71E+12,2,3.147939383,317.6681286,2931.18996,-1,-1
1.71E+12,2,3.147934813,317.6685903,2931.195342,-1,-1
1.71E+12,2,3.147929921,317.6690844,2931.201101,-1,-1
1.71E+12,2,3.147924694,317.6696123,2931.207254,-1,-1
1.71E+12,2,3.147919118,317.6701754,2931.213815,-1,-1
1.71E+12,2,3.147913179,317.6707753,2931.220802,-1,-1
1.71E+12,2,3.147906861,317.6714134,2931.228233,-1,-1
1.71E+12,2,3.147900153,317.672091,2931.23612,-1,-1
1.71E+12,2,3.147893041,317.6728093,2931.244476,-1,-1
1.71E+12,2,3.147885511,317.6735698,2931.253319,-1,-1
1.71E+12,2,3.14787755,317.6743739,2931.262663,-1,-1
1.71E+12,2,3.147869145,317.6752229,2931.27252,-1,-1
1.71E+12,2,3.147860281,317.6761182,2931.282907,-1,-1
