Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,-9.67598196,8.985200999,-0.69078096,-9.069294819,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.67598196,8.985200999,-0.69078096,-9.069294819,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675981964,8.98520097,-0.690780994,-9.069294817,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675981987,8.985200824,-0.690781163,-9.069294829,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982047,8.985200436,-0.690781611,-9.069294885,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982157,8.985199659,-0.690782498,-9.069295016,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982324,8.98519834,-0.690783984,-9.069295255,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.67598253,8.985196319,-0.690786211,-9.069295638,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982731,8.985193432,-0.6907893,-9.069296208,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982869,8.985189479,-0.69079339,-9.069297018,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982889,8.985184258,-0.690798631,-9.069298109,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675982758,8.985177564,-0.690805194,-9.069299529,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.67598246,8.985169164,-0.690813296,-9.069301335,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675981969,8.98515878,-0.690823189,-9.069303593,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675981245,8.985146114,-0.690835132,-9.069306357,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675980231,8.985130862,-0.690849369,-9.069309655,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675978835,8.985112704,-0.690866131,-9.069313531,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675976954,8.985091291,-0.690885663,-9.069318044,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675974494,8.98506625,-0.690908243,-9.069323273,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675971365,8.985037178,-0.690934187,-9.069329313,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675967484,8.985003629,-0.690963856,-9.069336253,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.67596277,8.984965127,-0.690997642,-9.069344212,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675957119,8.984921174,-0.691035945,-9.069353323,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675950408,8.984871249,-0.69107916,-9.069363713,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675942494,8.984814816,-0.691127678,-9.069375533,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675933204,8.984751326,-0.691181878,-9.069388957,112.5274725,112.1167883,112.5274725,134.7368421
1.71E+12,128,128,-1,-1,-1,-1,-9.675922357,8.984680209,-0.691242148,-9.069404156,112.5274725,112.1167883,112.5274725,134.7368421
