Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,3,0.837606838,1193.877551,2932.600733,-1,-1
1.71E+12,3,0.837606838,1193.877551,2932.600733,-1,-1
1.71E+12,3,0.837606837,1193.877551,2932.600732,-1,-1
1.71E+12,3,0.837606837,1193.877552,2932.600731,-1,-1
1.71E+12,3,0.837606836,1193.877553,2932.600729,-1,-1
1.71E+12,3,0.837606836,1193.877554,2932.600725,-1,-1
1.71E+12,3,0.837606835,1193.877555,2932.600717,-1,-1
1.71E+12,3,0.837606834,1193.877555,2932.600705,-1,-1
1.71E+12,3,0.837606834,1193.877557,2932.600685,-1,-1
1.71E+12,3,0.837606832,1193.877559,2932.600656,-1,-1
1.71E+12,3,0.837606829,1193.877563,2932.600612,-1,-1
1.71E+12,3,0.837606824,1193.87757,2932.600551,-1,-1
1.71E+12,3,0.837606815,1193.877583,2932.600468,-1,-1
1.71E+12,3,0.837606801,1193.877603,2932.60036,-1,-1
1.71E+12,3,0.83760678,1193.877633,2932.600225,-1,-1
1.71E+12,3,0.837606749,1193.877678,2932.600061,-1,-1
1.71E+12,3,0.837606706,1193.87774,2932.599865,-1,-1
1.71E+12,3,0.837606647,1193.877824,2932.599634,-1,-1
1.71E+12,3,0.837606569,1193.877934,2932.599363,-1,-1
1.71E+12,3,0.837606469,1193.878078,2932.599051,-1,-1
1.71E+12,3,0.837606342,1193.878259,2932.598693,-1,-1
1.71E+12,3,0.837606184,1193.878485,2932.598285,-1,-1
1.71E+12,3,0.83760599,1193.878762,2932.597823,-1,-1
1.71E+12,3,0.837605754,1193.879099,2932.597303,-1,-1
1.71E+12,3,0.837605471,1193.879504,2932.596721,-1,-1
1.71E+12,3,0.837605133,1193.879987,2932.596072,-1,-1
1.71E+12,3,0.837604734,1193.880557,2932.595351,-1,-1
1.71E+12,3,0.837604265,1193.881228,2932.594552,-1,-1
1.71E+12,3,0.837603717,1193.882011,2932.593669,-1,-1
1.71E+12,3,0.837603083,1193.882918,2932.592695,-1,-1
1.71E+12,3,0.837602354,1193.88396,2932.591621,-1,-1
1.71E+12,3,0.837601523,1193.885149,2932.590439,-1,-1
1.71E+12,3,0.83760058,1193.886496,2932.589142,-1,-1
1.71E+12,3,0.837599518,1193.888016,2932.587723,-1,-1
1.71E+12,3,0.837598326,1193.88972,2932.586176,-1,-1
1.71E+12,3,0.837596994,1193.891625,2932.584494,-1,-1
1.71E+12,3,0.837595511,1193.893747,2932.582668,-1,-1
1.71E+12,3,0.837593865,1193.8961,2932.580693,-1,-1
1.71E+12,3,0.837592044,1193.898704,2932.57856,-1,-1
1.71E+12,3,0.837590036,1193.901576,2932.576262,-1,-1
1.71E+12,3,0.837587826,1193.904736,2932.573791,-1,-1
1.71E+12,3,0.8375854,1193.908206,2932.57114,-1,-1
1.71E+12,3,0.837582742,1193.912008,2932.568301,-1,-1
1.71E+12,3,0.837579834,1193.916167,2932.565263,-1,-1
1.71E+12,3,0.837576657,1193.92071,2932.562018,-1,-1
1.71E+12,3,0.837573192,1193.925667,2932.558555,-1,-1
1.71E+12,3,0.837569416,1193.931068,2932.554864,-1,-1
1.71E+12,3,0.837565307,1193.936945,2932.550936,-1,-1
1.71E+12,3,0.837560843,1193.943331,2932.54676,-1,-1
1.71E+12,3,0.837555999,1193.950261,2932.54233,-1,-1
1.71E+12,3,0.837550752,1193.957768,2932.537638,-1,-1
1.71E+12,3,0.837545076,1193.965889,2932.532677,-1,-1
1.71E+12,3,0.837538946,1193.974662,2932.527441,-1,-1
1.71E+12,3,0.837532334,1193.984123,2932.521922,-1,-1
1.71E+12,3,0.837525214,1193.994312,2932.516114,-1,-1
1.71E+12,3,0.83751756,1194.005267,2932.510011,-1,-1
1.71E+12,3,0.837509342,1194.017028,2932.503607,-1,-1
1.71E+12,3,0.837500535,1194.029636,2932.496899,-1,-1
1.71E+12,3,0.837491107,1194.043131,2932.48988,-1,-1
1.71E+12,3,0.837481031,1194.057556,2932.482547,-1,-1
1.71E+12,3,0.837470275,1194.072955,2932.474897,-1,-1
1.71E+12,3,0.837458809,1194.089372,2932.466924,-1,-1
1.71E+12,3,0.837446602,1194.106851,2932.458624,-1,-1
1.71E+12,3,0.837433622,1194.125439,2932.449993,-1,-1
1.71E+12,3,0.837419836,1194.145181,2932.441029,-1,-1
1.71E+12,3,0.837405212,1194.166125,2932.431729,-1,-1
1.71E+12,3,0.837389716,1194.18832,2932.422096,-1,-1
1.71E+12,3,0.837373315,1194.211813,2932.412127,-1,-1
1.71E+12,3,0.837355974,1194.236654,2932.401827,-1,-1
1.71E+12,3,0.837337659,1194.262893,2932.391196,-1,-1
1.71E+12,3,0.837318336,1194.290578,2932.380237,-1,-1
