Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,39.33037631,10.44854885,49.77892515,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33037631,10.44854885,49.77892515,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33037654,10.44854884,49.77892538,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33037772,10.44854879,49.7789265,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33038098,10.44854859,49.77892957,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.3303879,10.44854805,49.77893596,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.3304004,10.44854697,49.77894737,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33042065,10.4485452,49.77896585,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33045112,10.44854264,49.77899376,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33049453,10.44853921,49.77903374,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33055393,10.44853487,49.7790888,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33063266,10.44852958,49.77916224,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33073434,10.44852333,49.77925767,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33086284,10.44851606,49.7793789,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33102223,10.4485077,49.77952993,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33121674,10.44849821,49.77971496,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33145071,10.44848752,49.77993823,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33172855,10.44847553,49.78020407,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.3320547,10.44846216,49.78051685,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.3324337,10.44844735,49.78088105,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.3328701,10.44843106,49.78130116,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33336844,10.44841328,49.78178172,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33393325,10.44839398,49.78232724,-605.0000721,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,39.33456902,10.44837318,49.7829422,-605.0000721,-1,-1,-1,-1
