Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,2,3.394139194,294.6255126,2934.798535,-1,-1
1.71E+12,2,3.394139194,294.6255126,2934.798535,-1,-1
1.71E+12,2,3.394139193,294.6255128,2934.798535,-1,-1
1.71E+12,2,3.394139187,294.6255133,2934.798531,-1,-1
1.71E+12,2,3.394139172,294.6255145,2934.798521,-1,-1
1.71E+12,2,3.394139144,294.625517,2934.798505,-1,-1
1.71E+12,2,3.394139099,294.6255208,2934.798483,-1,-1
1.71E+12,2,3.394139037,294.6255263,2934.798452,-1,-1
1.71E+12,2,3.394138954,294.6255335,2934.798411,-1,-1
1.71E+12,2,3.394138847,294.6255428,2934.798361,-1,-1
1.71E+12,2,3.39413871,294.6255547,2934.798297,-1,-1
1.71E+12,2,3.394138536,294.6255698,2934.798217,-1,-1
1.71E+12,2,3.394138317,294.6255888,2934.798122,-1,-1
1.71E+12,2,3.394138043,294.6256126,2934.798009,-1,-1
1.71E+12,2,3.394137704,294.6256421,2934.797876,-1,-1
1.71E+12,2,3.394137292,294.6256779,2934.797723,-1,-1
1.71E+12,2,3.394136795,294.625721,2934.79755,-1,-1
1.71E+12,2,3.394136202,294.6257725,2934.797354,-1,-1
1.71E+12,2,3.394135504,294.6258332,2934.79713,-1,-1
1.71E+12,2,3.394134686,294.6259042,2934.796881,-1,-1
1.71E+12,2,3.394133734,294.625987,2934.796604,-1,-1
1.71E+12,2,3.394132629,294.626083,2934.796298,-1,-1
1.71E+12,2,3.394131355,294.6261937,2934.795962,-1,-1
1.71E+12,2,3.394129896,294.6263205,2934.795596,-1,-1
1.71E+12,2,3.394128235,294.6264648,2934.795195,-1,-1
1.71E+12,2,3.394126353,294.6266283,2934.794755,-1,-1
1.71E+12,2,3.394124234,294.6268125,2934.794274,-1,-1
1.71E+12,2,3.394121857,294.6270191,2934.793752,-1,-1
1.71E+12,2,3.394119201,294.6272499,2934.793183,-1,-1
1.71E+12,2,3.394116241,294.6275072,2934.792564,-1,-1
1.71E+12,2,3.394112952,294.627793,2934.791896,-1,-1
1.71E+12,2,3.394109308,294.6281097,2934.791172,-1,-1
1.71E+12,2,3.394105284,294.6284595,2934.790388,-1,-1
1.71E+12,2,3.394100853,294.6288447,2934.789543,-1,-1
1.71E+12,2,3.394095986,294.6292677,2934.788637,-1,-1
1.71E+12,2,3.394090655,294.6297311,2934.787665,-1,-1
1.71E+12,2,3.394084829,294.6302376,2934.786624,-1,-1
1.71E+12,2,3.394078473,294.6307901,2934.785512,-1,-1
1.71E+12,2,3.394071553,294.6313917,2934.784326,-1,-1
1.71E+12,2,3.394064033,294.6320454,2934.783061,-1,-1
1.71E+12,2,3.394055878,294.6327544,2934.781717,-1,-1
1.71E+12,2,3.394047053,294.6335216,2934.780291,-1,-1
1.71E+12,2,3.394037525,294.6343501,2934.778779,-1,-1
1.71E+12,2,3.394027257,294.6352428,2934.777178,-1,-1
1.71E+12,2,3.394016211,294.6362032,2934.775487,-1,-1
1.71E+12,2,3.394004344,294.637235,2934.773704,-1,-1
1.71E+12,2,3.393991616,294.6383417,2934.771825,-1,-1
1.71E+12,2,3.393977985,294.639527,2934.769852,-1,-1
1.71E+12,2,3.393963411,294.6407943,2934.767782,-1,-1
1.71E+12,2,3.393947851,294.6421473,2934.765611,-1,-1
1.71E+12,2,3.393931266,294.6435896,2934.763336,-1,-1
1.71E+12,2,3.39391361,294.6451249,2934.760957,-1,-1
1.71E+12,2,3.393894843,294.6467571,2934.758473,-1,-1
1.71E+12,2,3.39387492,294.6484897,2934.755879,-1,-1
1.71E+12,2,3.393853798,294.6503266,2934.753176,-1,-1
1.71E+12,2,3.393831433,294.6522716,2934.750363,-1,-1
1.71E+12,2,3.393807783,294.6543285,2934.747434,-1,-1
1.71E+12,2,3.393782804,294.656501,2934.744387,-1,-1
